 2016-08-15 08:10:55,337 [P11808/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on CALLUMG-LT002
 2016-08-15 08:10:57,048 [P11808/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-08-15 08:10:57,474 [P11808/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-08-15 08:10:57,522 [P11808/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-08-15 08:10:57,636 [P11808/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-08-15 08:10:57,663 [P11808/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-08-15 08:10:57,803 [P11808/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-08-15 08:10:57,819 [P11808/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 2595ms)
 2016-08-15 08:10:59,736 [P11808/D2/T11] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:63987/umbraco (UmbracoModule request)
 2016-08-15 08:10:59,940 [P11808/D2/T10] INFO  umbraco.content - Load Xml from file...
 2016-08-15 08:10:59,942 [P11808/D2/T10] INFO  umbraco.content - Loaded Xml from file.
 2016-08-15 08:11:00,793 [P11808/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-08-15 08:11:00,795 [P11808/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 2ms)
 2016-08-15 08:11:10,896 [P11808/D2/T16] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2016-08-15 08:11:16,941 [P11808/D2/T10] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2016-08-15 08:11:31,048 [P11808/D2/T17] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-08-15 08:11:31,049 [P11808/D2/T17] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 1ms)
 2016-08-15 08:11:31,483 [P11808/D2/T17] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username admin from IP address ::1
 2016-08-15 08:11:31,485 [P11808/D2/T17] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: User: admin logged in from IP address ::1
 2016-08-15 08:11:32,148 [P11808/D2/T17] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-08-15 08:11:32,149 [P11808/D2/T17] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 1ms)
 2016-08-15 08:11:32,283 [P11808/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2016-08-15 08:11:32,284 [P11808/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 1ms)
 2016-08-15 08:11:32,329 [P11808/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-08-15 08:11:32,330 [P11808/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 1ms)
 2016-08-15 08:11:32,344 [P11808/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-08-15 08:11:32,344 [P11808/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2016-08-15 08:11:32,347 [P11808/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-08-15 08:11:32,348 [P11808/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 0ms)
 2016-08-15 08:12:00,021 [P11808/D2/T15] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-08-14 08:11:59
 2016-08-15 08:12:26,371 [P11808/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ICacheRefresher
 2016-08-15 08:12:26,372 [P11808/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 0 (took 1ms)
 2016-08-15 08:12:53,226 [P11808/D2/T29] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Gallery' with Id '1069' has been published.
 2016-08-15 08:12:57,359 [P11808/D2/T13] INFO  umbraco.content - Save Xml to file...
 2016-08-15 08:12:57,373 [P11808/D2/T31] INFO  umbraco.content - Saved Xml to file.
 2016-08-15 08:17:50,924 [P11808/D2/T34] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-08-15 08:17:50,924 [P11808/D2/T34] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2016-08-15 08:18:10,332 [P11808/D2/T25] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Catherine SY Chen' with Id '0' has been published.
 2016-08-15 08:18:14,372 [P11808/D2/T31] INFO  umbraco.content - Save Xml to file...
 2016-08-15 08:18:14,383 [P11808/D2/T31] INFO  umbraco.content - Saved Xml to file.
 2016-08-15 08:18:21,817 [P11808/D2/T18] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Alice Qiao' with Id '1093' has been unpublished.
 2016-08-15 08:18:25,868 [P11808/D2/T31] INFO  umbraco.content - Save Xml to file...
 2016-08-15 08:18:25,909 [P11808/D2/T37] INFO  umbraco.content - Saved Xml to file.
 2016-08-15 08:18:33,174 [P11808/D2/T32] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Luo Hui' with Id '1099' has been published.
 2016-08-15 08:18:37,228 [P11808/D2/T13] INFO  umbraco.content - Save Xml to file...
 2016-08-15 08:18:37,230 [P11808/D2/T37] INFO  umbraco.content - Saved Xml to file.
 2016-08-15 08:18:38,376 [P11808/D2/T32] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Luo Hui' with Id '1099' has been published.
 2016-08-15 08:18:42,414 [P11808/D2/T31] INFO  umbraco.content - Save Xml to file...
 2016-08-15 08:18:42,417 [P11808/D2/T35] INFO  umbraco.content - Saved Xml to file.
